Active_Booking id,Space Id,
643,4666,
642,2188,
640,5607,
639,3703,
638,5594,
637,5560,
634,1086,
633,1086,
632,4659,
631,4664,
630,5587,
629,5589,
628,2046,
627,2921,
626,5613,
625,5584,
624,5615,
623,5614,
620,4664,
619,5631,
618,5576,
612,5616,
611,5869,
610,5609,
608,4668,
607,5579,
606,4661,
605,1086,
604,5585,
602,5585,
601,5597,
599,5848,"new 202.28 vs 203, i put new"
598,5612,
597,5629,
596,5598,
594,5535,
592,5596,
591,5634,
590,5582,
588,5530,
587,1086,
586,4461,
585,5594,
584,5535,
583,4666,
582,5606,
580,5582,
578,5626,
577,5581,
575,5570,
574,5564,
573,4666,
572,4672,
571,5607,
569,5622,
568,1086,
565,5574,
564,5585,
563,5582,
560,2043,
559,4659,
558,5604,
553,5599,
552,5588,
551,5611,
550,5610,
549,5620,
548,5582,
547,5530,
546,5627,
540,5603,
539,2046,
536,5598,
534,2046,
532,127,
531,2046,
529,5850,"new 117.6 vs 18, i put new"
528,3788,
527,5615,
526,5851,
525,5585,
524,1087,
523,5602,
520,5595,
519,5586,
518,2046,
517,5589,
516,5585,
483,2046,
482,5600,
480,4664,
479,5573,
478,5623,
475,5600,
473,5617,
469,5625,
468,4666,
467,5613,
462,2046,
428,2046,
426,5569,
419,5615,
418,5621,
416,2046,
415,5568,
414,2046,
413,5597,
410,5852,
409,1086,
406,4659,
403,4659,
400,4659,
399,4659,
395,5587,
392,5568,
390,5563,
384,5615,
382,4672,
379,5593,
377,2046,
376,4664,
374,4659,
371,5594,
369,5618,
366,127,
365,5559,
364,5630,
363,1086,
361,5628,
359,4664,
354,4659,
352,1086,
350,5864,
349,4671,
312,1086,
309,2046,
308,5628,
307,5567,
306,4672,
304,5530,
299,4659,
298,5885,
297,1086,
253,5608,
251,5886,
249,127,
243,5530,
240,5530,
236,4666,
234,5530,
233,2043,
232,5572,
229,5493,
228,5582,
224,129,
223,5493,
222,5584,
212,5853,
209,5582,
207,5854,
205,5887,"new 24.21 vs 24.4, i put new"
204,5592,
200,5575,
199,4672,
198,1086,
187,5592,
186,5592,
151,5855,"new 118.36 vs 120, i put new"
148,5605,
145,1086,
142,5530,
140,5562,
138,5627,
136,1086,
134,5593,
133,5866,"new 21.95 vs 25, i put new"
132,5856,
131,5857,
121,1086,
116,5859,2 units same space id=105
115,5888,
113,1085,
108,5889,
107,5571,
106,5595,
105,5859,2 units same space id=116
98,5612,
93,5493,
85,5860,"size new 215.2 vs. 256, i take new"
81,5861,
80,1086,
78,5862,
77,5867,
70,5579,
67,5565,
57,5868,"new 24,85 sqft old vs 24, i take new"
53,5863,
48,3519,
47,5580,
40,5890,